Haplotype	Europe	North America	North-East Asia	South Asia	South and Central America	South-East Asia	Western Asia	Weighted	Mean
01:01/08:01/07:01	6.963785952326446	16.422883129968586	0.9061423745687468	0.0	1.447407885624521	0.0383933594460389	0.0	14.401762737813772	3.682658957419191
03:01/07:02/07:02	4.63580357780162	8.31004643487373	0.5721314967321199	0.5085360687328387	1.5717741937967065	0.0674934407750666	0.0	7.403686783562659	2.237969316101726
29:02/44:03/16:01	1.3136447853413795	5.353774113642609	0.030177404562153	0.0	2.493824403018627	0.0	0.0	4.596834532087477	1.313060100937824
02:01/07:02/07:02	2.6312257615509287	5.042268491688285	0.6922716755351083	0.4989470856636711	1.2469621879675818	0.034665380225236	5.960555952315552	4.552077899373661	2.3009852192780516
02:01/44:02/05:01	2.4616875252219725	4.579206778740706	0.2708787346518958	0.0	1.8155081643142217	0.0315424180123872	0.0	4.070090192702658	1.3084033744201689
01:01/57:01/06:02	1.1453266509999231	4.200553499763691	0.1323223444849783	5.125656413885994	0.6150333825364037	0.1376124845580013	0.0	3.6389886597159484	1.6223578251755701
03:01/35:01/04:01	1.649051467992392	3.147717019479858	0.4156647795728332	0.544142292621583	0.7845874489833707	0.0473650816367234	0.0	2.802652147158719	0.9412182986123944
33:03/58:01/03:02	0.2954016387867049	2.976421915337242	0.4801075219754254	2.2675595207777026	0.0	7.270362229307943	1.570070867439433	2.691977093045616	2.1228462419463505
24:02/07:02/07:02	1.2388603292438194	2.7442653399729	4.0030585999989015	1.6089293698224716	0.6297294012673613	0.0341476447079743	0.0	2.5492467123604396	1.4655700978590613
02:01/08:01/07:01	0.644890661265325	2.200031588753428	0.0574148045840123	0.0	0.3888946453294231	0.0	0.0	1.8994241793269873	0.47017595713316984
02:01/40:01/03:04	1.4620367457645669	1.929692752368231	0.6671045258758531	0.133185875371545	0.2141419872225255	0.4987775735007703	0.5420351956637184	1.7895792975576632	0.7781392365381729
23:01/44:03/04:01	1.095318118296729	1.8101542373716109	0.0991650459669257	0.1605829698548809	0.6054359825488397	0.0212896246656232	0.0	1.621021197233468	0.5417065683863728
11:01/35:01/04:01	1.4866826593706617	1.74675314547393	0.1456959152757684	0.6707288678621056	0.8541685988932108	0.1059869453663335	0.0	1.6116853670998463	0.7157165903202871
02:01/15:01/03:04	1.1382455541152423	1.699026676481406	0.2023691890232122	0.0	0.0	0.0248020118713736	0.0	1.5343012973502053	0.4377776330701763
