Haplotype	Europe	North-East Asia	Western Asia	Weighted	Mean
04:07/03:01/03:01	0.2778	0.0	0.0	0.276916490877371	0.0926
15:02/06:01/04:01	0.2718000000000001	0.1576119672525885	0.5480999999999999	0.27252282532973365	0.3258373224175295
04:01/03:01/04:02	0.2673	0.0	0.0	0.26644988485068855	0.0891
07:01/03:03/02:01	0.2514	0.091761979292078	0.0	0.2506370913939614	0.11438732643069266
10:01/05:01/02:01	0.2201000000000001	0.1640639296893811	0.0	0.21946550580611354	0.12805464322979374
14:01/05:03/03:01	0.2148	0.1518408379484709	0.0	0.21417748140180468	0.1222136126494903
16:01/05:02/02:01	0.2086	0.0917102094871177	0.4598	0.20925194095379432	0.2533700698290392
07:01/03:03/04:02	0.197	0.0	0.6433	0.19816254743888204	0.2801
13:01/06:03/05:01	0.1838999999999999	0.2929009150012039	0.0	0.1834320772601212	0.15893363833373458
04:03/03:02/04:01	0.1793	0.095074644835059	1.664	0.18339547067196932	0.6461248816116862
13:02/06:04/04:02	0.1803	0.1547459667710089	0.0	0.17978836441060414	0.11168198892366962
03:01/02:01/09:01	0.1775	0.0	0.0	0.17693548283201352	0.059166666666666666
04:02/03:02/04:01	0.1652	0.1176986515771731	1.0555	0.1676570475858832	0.44613288385905775
10:01/05:01/04:01	0.1655	0.139724897664339	0.322	0.16592495080892947	0.209074965888113
07:01/03:03/03:01	0.1648	0.1008734649650855	0.0	0.16431615017885304	0.0885578216550285
04:02/03:02/02:01	0.149	0.125541777028654	0.2779999999999999	0.14934939562234564	0.18418059234288464
14:01/05:03/04:02	0.1453	0.0	0.0	0.1448378910168539	0.048433333333333335
04:07/03:01/04:01	0.1314999999999999	0.0	0.0	0.13108178023892822	0.0438333333333333
15:02/06:01/02:01	0.1268	0.4932524680953528	0.0	0.1265936728063609	0.20668415603178428
01:02/05:01/02:01	0.1258999999999999	0.0	0.0	0.1254995903580309	0.04196666666666663
15:01/06:02/01:01	0.1215	0.0	0.0	0.12111358402304025	0.0405
11:04/03:01/03:01	0.1202	0.1459390801830002	0.0	0.11987598875830452	0.08871302672766673
16:01/05:02/03:01	0.1198999999999999	0.0	0.0	0.11951867262849805	0.03996666666666663
15:02/06:01/09:01	0.0	6.596243679268	0.0	0.0026337340469123126	2.1987478930893336
13:02/06:09/04:01	0.0	0.0	0.5470999999999999	0.001521540112666924	0.18236666666666665
10:01/05:01/03:01	0.0	0.0	0.3271	0.0009096979909584187	0.10903333333333333
03:02/04:02/01:01	0.0	0.0	0.3082	0.0008571351905025515	0.10273333333333333
08:02/03:02/05:01	0.0	1.0969034432940044	0.0	0.0004379692572393508	0.36563448109800145
04:03/03:02/02:01	0.0	1.0005538165181795	0.0	0.0003994989846440023	0.3335179388393932
04:03/03:02/05:01	0.0	0.9412617385022876	0.0	0.00037582497073917266	0.31375391283409587
15:02/06:01/05:01	0.0	0.8002450036118469	0.0	0.00031952011089406515	0.2667483345372823
12:02/03:01/05:01	0.0	0.793031543462557	0.0	0.0003166399359770981	0.26434384782085235
11:01/03:01/05:01	0.0	0.7187183963399952	0.0	0.0002869683417749242	0.2395727987799984
08:02/04:02/05:01	0.0	0.629978328918854	0.0	0.0002515363977388164	0.20999277630628466
01:01/05:01/05:01	0.0	0.5110925836744521	0.0	0.00020406795203435575	0.1703641945581507
08:02/04:02/04:02	0.0	0.510567059956658	0.0	0.000203858122050002	0.17018901998555266
04:03/03:02/03:01	0.0	0.4153389116301468	0.0	0.00016583563096765605	0.1384463038767156
13:02/06:04/05:01	0.0	0.3557524680953527	0.0	0.00014204408342897862	0.11858415603178424
08:02/03:02/02:01	0.0	0.3483409583433661	0.0	0.00013908483169087485	0.11611365278112203
04:07/03:02/02:01	0.0	0.244579821815555	0.0	9.76553073574228e-05	0.08152660727185167
08:02/04:02/02:01	0.0	0.2371683120635685	0.0	9.469605561931909e-05	0.0790561040211895
12:02/03:01/02:01	0.0	0.2143137490970382	0.0	8.557073467318148e-05	0.07143791636567941
10:01/05:01/05:01	0.0	0.1926992535516494	0.0	7.694054519069675e-05	0.06423308451721647
04:01/03:01/05:01	0.0	0.1853226583192872	0.0	7.399523404720071e-05	0.061774219439762405
13:02/06:09/03:01	0.0	0.1626661449554539	0.0	6.494898992219995e-05	0.05422204831848463
13:02/06:09/02:01	0.0	0.1624072959306525	0.0	6.484563723803939e-05	0.0541357653102175
04:01/03:01/02:01	0.0	0.154995786178666	0.0	6.188638549993567e-05	0.05166526205955533
15:01/03:01/05:01	0.0	0.1482301950397303	0.0	5.9185034762074434e-05	0.04941006501324344
04:03/03:02/04:02	0.0	0.1404225860823501	0.0	5.6067629381697127e-05	0.046807528694116696
01:01/05:01/09:01	0.0	0.1185841560317842	0.0	4.7348027809659524e-05	0.039528052010594734
12:02/03:01/03:01	0.0	0.1111726462797977	0.0	4.4388776071555804e-05	0.037057548759932564
15:02/06:01/04:02	0.0	0.1044780881290633	0.0	4.171578723306885e-05	0.034826029376354435
13:02/06:09/05:01	0.0	0.0963496267758246	0.0	3.847027259534834e-05	0.0321165422586082
08:02/04:02/03:01	0.0	0.0889381170238381	0.0	3.551102085724462e-05	0.029646039007946032
15:01/05:03/04:01	0.0	0.0867920780158921	0.0	3.465415499902992e-05	0.028930692671964034
